userName,review,at,rating,date,bank,source
Samuel Girma,I hate this app 😒,2025-05-22 09:27:49,1,2025-05-22,CBE,Google Play
TEMESGEN GABISO,trustful,2025-05-22 08:00:13,5,2025-05-22,CBE,Google Play
Mame Mame,I like,2025-05-21 23:52:56,5,2025-05-21,CBE,Google Play
Living The Moment,update issue,2025-05-21 23:25:20,4,2025-05-21,CBE,Google Play
Paula Pes,its not working over safari network,2025-05-21 23:08:26,1,2025-05-21,CBE,Google Play
Kal,oldie,2025-05-21 21:55:50,1,2025-05-21,CBE,Google Play
Elias Zufan,it doesn't work,2025-05-21 17:39:04,1,2025-05-21,CBE,Google Play
Girma Gelana,best,2025-05-21 17:18:27,5,2025-05-21,CBE,Google Play
Bonsa Muzemil,"This app is good, and we are using it well",2025-05-21 16:43:36,1,2025-05-21,CBE,Google Play
abush nesha,ok,2025-05-21 16:41:31,5,2025-05-21,CBE,Google Play
Lali Teshome,best app,2025-05-21 16:19:48,5,2025-05-21,CBE,Google Play
Bereket Adamu,best,2025-05-21 16:07:59,5,2025-05-21,CBE,Google Play
Abdule Yube,very nice 👌 app for android phone,2025-05-21 14:28:54,5,2025-05-21,CBE,Google Play
Nesredin Seid,good app,2025-05-21 13:20:26,5,2025-05-21,CBE,Google Play
Magarsaa Ibraahim Muhammad,Yes Yes,2025-05-21 13:01:46,5,2025-05-21,CBE,Google Play
Lele Apostle,በጣም ከርፋፋ,2025-05-21 11:37:48,1,2025-05-21,CBE,Google Play
Fasika Abduraman,easy to use helpful in my life,2025-05-21 09:23:24,5,2025-05-21,CBE,Google Play
habib mensur,good 👍,2025-05-21 09:07:35,4,2025-05-21,CBE,Google Play
Alemayehu Aynewa (Alemeji),the best mobile banking app,2025-05-21 09:06:37,5,2025-05-21,CBE,Google Play
Belay Bezabih,"this app is very useful app,it saves time,and it is secure",2025-05-21 08:43:38,4,2025-05-21,CBE,Google Play
baleh zebenay,ok,2025-05-21 08:14:52,2,2025-05-21,CBE,Google Play
Hayat Ahmed,it's a good application 👍,2025-05-21 07:58:52,5,2025-05-21,CBE,Google Play
Ephrem Berhanu,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2025-05-21 04:02:44,2,2025-05-21,CBE,Google Play
Samuel Solomon,poor service,2025-05-20 21:22:33,1,2025-05-20,CBE,Google Play
Kal Eldu,amazing,2025-05-20 16:28:06,5,2025-05-20,CBE,Google Play
Daniel Abera,it is reliable and easy to use.,2025-05-20 14:50:21,5,2025-05-20,CBE,Google Play
Yeabfana Berhanu,the most annoying mobile banking app I've ever seen,2025-05-20 14:21:51,1,2025-05-20,CBE,Google Play
kahsay Gebreegzabiher,Cbe mobile banking,2025-05-20 11:12:05,5,2025-05-20,CBE,Google Play
Abdrezak Jilalu,"i can't make Screenshout in this app, please made modification",2025-05-20 05:44:31,5,2025-05-20,CBE,Google Play
Abdi Salih,Best app I loved it,2025-05-18 23:30:18,5,2025-05-18,CBE,Google Play
Esraafil Jemal,nice app,2025-05-18 23:11:17,5,2025-05-18,CBE,Google Play
Kedir Trading,wow,2025-05-18 13:48:55,5,2025-05-18,CBE,Google Play
Demeke Gebreyesus,Amazing applicatiom sometimes doesnt work!,2025-05-18 13:37:20,5,2025-05-18,CBE,Google Play
Tsigereda Tadesse,well satisfied with this beautiful app,2025-05-18 08:11:52,5,2025-05-18,CBE,Google Play
Zi Gt,very good,2025-05-17 18:10:29,4,2025-05-17,CBE,Google Play
temesgen areko,best app.,2025-05-17 13:46:51,5,2025-05-17,CBE,Google Play
Adam Mohamed,good,2025-05-17 13:43:25,5,2025-05-17,CBE,Google Play
Malka Beksissa,"not working,why???",2025-05-17 13:13:06,5,2025-05-17,CBE,Google Play
