userName,review,at,rating,date,bank,source
Fanuel Gebremedhn,Improved to be the best,2025-03-11 09:32:31,5,2025-03-11,BOA,Google Play
Merkeb Bonitua,BoA,2025-03-11 07:51:57,5,2025-03-11,BOA,Google Play
Nati Man,"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",2025-03-11 06:22:01,3,2025-03-11,BOA,Google Play
DAMTE BIRU,BoA Greqt Ethiopian bank.,2025-03-11 05:31:05,5,2025-03-11,BOA,Google Play
Bamlak Sintayehu,"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",2025-03-10 17:11:15,1,2025-03-10,BOA,Google Play
Biruh Alemayehu,Almost better compared to cbe where it is not qualified for,2025-03-09 08:50:02,4,2025-03-09,BOA,Google Play
Teddy Abayneh,what awesome apps. it is very simple to use and more much important apps.,2025-03-09 08:34:30,5,2025-03-09,BOA,Google Play
abrar yasin,Wonderfull app,2025-03-08 07:23:26,5,2025-03-08,BOA,Google Play
Djejaydh Sj4ydudg,i can't use this app why?,2025-03-07 11:28:00,5,2025-03-07,BOA,Google Play
Abel Tesfaye,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,2025-03-06 19:44:28,1,2025-03-06,BOA,Google Play
Demlash Demlash,Wow,2025-03-05 18:58:05,4,2025-03-05,BOA,Google Play
Tarik Teshome,bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,2025-03-05 12:03:56,1,2025-03-05,BOA,Google Play
GENENE NUSI,AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,2025-03-04 17:03:40,1,2025-03-04,BOA,Google Play
ᴀʙᴅᴜ sᴇɪᴅ ᴀʟɪ,Good app,2025-03-03 13:47:22,5,2025-03-03,BOA,Google Play
Cyber boy,"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",2025-03-03 06:24:29,1,2025-03-03,BOA,Google Play
Merkeb,It has good features but sometimes it doesn't work...0,2025-03-02 14:02:17,1,2025-03-02,BOA,Google Play
Mahlet Fassil,Very poor proformance,2025-03-01 20:02:44,1,2025-03-01,BOA,Google Play
Wedi 20,It's not opening. Really frustrating,2025-03-01 14:18:34,1,2025-03-01,BOA,Google Play
Diriba Desu,Verry Amazing App from all IB,2025-03-01 08:35:08,5,2025-03-01,BOA,Google Play
Zenebe Abebe,Not working on this days,2025-02-26 10:29:28,1,2025-02-26,BOA,Google Play
fitsum tesfaye,Thank you BoA,2025-02-23 08:06:47,5,2025-02-23,BOA,Google Play
Eshetu Amsal,best banking app in the wworld,2025-02-22 16:58:17,5,2025-02-22,BOA,Google Play
Yebelay Getnet,Nice app and it's easy to use,2025-02-21 09:41:42,5,2025-02-21,BOA,Google Play
miki,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",2025-02-15 15:15:50,1,2025-02-15,BOA,Google Play
Teshome Tesheberetu,This is help full i like ittttt,2025-02-14 18:09:06,5,2025-02-14,BOA,Google Play
Fisseha Legese,The is not functional at all?,2025-02-12 08:31:48,2,2025-02-12,BOA,Google Play
Huzeyfa Jemal,Best bank,2025-02-08 08:08:52,5,2025-02-08,BOA,Google Play
Zola Man,Make it easy and convienient to use and perfect for all to high prefrence and choice.,2025-02-07 06:28:37,3,2025-02-07,BOA,Google Play
Adon “Adonaray” Araya,good,2025-02-05 04:32:27,5,2025-02-05,BOA,Google Play
Nati,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,2025-02-04 05:48:51,5,2025-02-04,BOA,Google Play
Haben Hailemariam,I have been using this app for two years.It is amazing.,2025-01-31 21:18:26,5,2025-01-31,BOA,Google Play
Adama Adama,Good 👍,2025-01-31 14:46:28,5,2025-01-31,BOA,Google Play
Feysel Muktar,Sad experience,2025-01-30 17:27:28,1,2025-01-30,BOA,Google Play
Mesfin Wegayehu,Always do update and that is annoying,2025-01-27 06:11:12,3,2025-01-27,BOA,Google Play
Bekure Abate,"Best app, somehow waiting a few minutes",2025-01-23 13:02:28,5,2025-01-23,BOA,Google Play
Mohammed Duri,I can't dijitalize my atm in the apollo app on my phone,2025-01-22 03:05:22,1,2025-01-22,BOA,Google Play
